link,skills,salary,experience,name
https://hh.ru/vacancy/49497519?from=vacancy_search_list&query=it,"['1С: Документооборот', 'Делопроизводство', 'Деловое общение', 'Деловая переписка', 'Первичная бухгалтерская документация', 'Деловая коммуникация', 'Обеспечение жизнедеятельности офиса', 'Прием и распределение звонков', 'Внутренняя документация', '1С: Управление Торговлей', 'Высокая скорость печати']",от 50 000 до 70 000 руб. до вычета налогов,1–3 года,Офис-менеджер / помощник руководителя
https://hh.ru/vacancy/46456507?from=vacancy_search_list&query=it,"['TCP/IP', 'Linux', 'VMware', 'Cisco', 'MySQL', 'Windows Server', 'MS SQL', 'Администрирование', 'vSphere', 'CommuniGate Pro', 'IP-АТС Eltex', 'Сетевые технологии', 'почтовые сервера', 'Закупка оргтехники и оборудования', 'Настройка оборудования']",от 130 000 до 150 000 руб. на руки,3–6 лет,Сетевой инженер
https://hh.ru/vacancy/50221608?from=vacancy_search_list&query=it,"['Адаптация персонала', 'Написание статей', 'Обучение персонала', 'Грамотная устная и письменная речь', 'Написание текстов']",от 50 000 до 80 000 руб. на руки,1–3 года,Маркетолог-копирайтер
https://hh.ru/vacancy/49955845?from=vacancy_search_list&query=it,"['Управление офисами компании', 'Организация офисного переезда', 'MS PowerPoint', 'Работа с оргтехникой', 'Многозадачность', 'Деловая коммуникация', 'Уверенный пользователь ПК', 'Офисные программы', 'Работа с офисной техникой', 'Подготовка документов', 'Опытный пользовать ПК, знание MS Office']",до 45 000 руб. на руки,не требуется,Офис-менеджер/Помощник руководителя/Секретарь
https://hh.ru/vacancy/50216437?from=vacancy_search_list&query=it,[],от 55 000 до 60 000 руб. на руки,1–3 года,Помощник менеджер по продажам/ассистент менеджера по продажам
https://hh.ru/vacancy/48473231?from=vacancy_search_list&query=it,"['Холодные продажи', 'Телефонные переговоры', 'Деловая переписка', 'Холодные звонки']",от 40 000 до 60 000 руб. на руки,не требуется,Специалист группы привлечения поставщиков
https://hh.ru/vacancy/49513204?from=vacancy_search_list&query=it,"['Управление персоналом', 'Организаторские навыки', 'Подбор персонала', 'Мотивация персонала']",от 90 000 руб. на руки,1–3 года,Директор шоурума
https://hh.ru/vacancy/44561335?from=vacancy_search_list&query=it,[],от 60 000 руб. на руки,1–3 года,Системный администратор/Helpdesk
https://hh.ru/vacancy/49767130?from=vacancy_search_list&query=it,"['CRM', 'Обучение и развитие', 'Клиентоориентированность', 'Планирование продаж', 'Сопровождение клиентов', 'Управление временем', 'Развитие продаж', 'B2B Продажи', 'Навыки переговоров', 'Управление отношениями с клиентами', 'Деловая коммуникация']",от 120 000 до 180 000 руб. на руки,1–3 года,Менеджер по продажам (автозапчасти для коммерческого транспорта)
https://hh.ru/vacancy/49396897?from=vacancy_search_list&query=it,[],от 100 000 руб. на руки,0,Менеджер по ВЭД
https://hh.ru/vacancy/50190565?from=vacancy_search_list&query=it,"['Английский язык', 'Грамотная речь', 'MS PowerPoint', 'Поиск информации в интернет', 'English', 'GSC', 'Yandex Wordstat Assistant']",от 2 000 EUR на руки,3–6 лет,Менеджер по развитию веб-сайта (SEO)
https://hh.ru/vacancy/49776213?from=vacancy_search_list&query=it,[],от 69 600 до 69 600 руб. на руки,3–6 лет,Делопроизводитель / помощник руководителя
https://hh.ru/vacancy/48833548?from=vacancy_search_list&query=it,"['Организаторские навыки', 'Активные продажи', 'Телефонные переговоры', 'Холодные звонки', 'Вторичная недвижимость', 'Загородная недвижимость', 'Жилая недвижимость', 'Навыки продаж', 'продажа недвижимости', 'Аналитика продаж', 'Консультативные продажи', 'B2B Продажи', 'B2C продажи', 'входящие звонки', 'исходящие звонки']",от 120 000 до 300 000 руб. до вычета налогов,не требуется,Специалист по продаже недвижимости
https://hh.ru/vacancy/50135926?from=vacancy_search_list&query=it,"['Английский язык', 'Логистика поставок', 'Оптимизация логистических процессов', 'Претензионная работа', 'Складская логистика']",от 150 000 руб. до вычета налогов,более 6 лет,Начальник отдела логистики и закупок
https://hh.ru/vacancy/50184110?from=vacancy_search_list&query=it,"['windows', 'Техническая поддержка', 'Офисная техника', 'Настройка сетевых подключений']",от 80 000 руб. на руки,1–3 года,Специалист технической поддержки
https://hh.ru/vacancy/49796201?from=vacancy_search_list&query=it,"['Активные продажи', 'Работа в команде', 'Организация мероприятий', 'Организаторские навыки', 'Обучение и развитие']",от 45 000 до 70 000 руб. до вычета налогов,не требуется,Администратор на арену
https://hh.ru/vacancy/49943650?from=vacancy_search_list&query=it,"['Делопроизводство', 'Административная поддержка руководителя', 'Исполнение личных поручений руководителя', 'исполнение поручений руководителя', 'Планирование рабочего дня руководителя', 'Работа с большим объемом информации', 'Работа в команде']",от 60 000 до 80 000 руб. до вычета налогов,1–3 года,Помощник руководителя
https://hh.ru/vacancy/50067106?from=vacancy_search_list&query=it,"['Английский\xa0— B2 — Средне-продвинутый', 'Транспортная логистика', 'Английский язык', 'CRM', 'Автомобильные грузоперевозки', 'Экспедирование']",от 60 000 руб. на руки,1–3 года,Менеджер отдела международной логистики
https://hh.ru/vacancy/48346206?from=vacancy_search_list&query=it,"['Работа в команде', 'Работа с большим объемом информации', 'Работа с базами данных', 'MS Excel', 'Google Docs', 'Notion', 'Miro', 'Google Sheets', 'Продвинутый пользователь ПК']",от 30 000 до 40 000 руб. на руки,не требуется,Специалист по работе с учебной платформой
https://hh.ru/vacancy/49714401?from=vacancy_search_list&query=it,"['Работа в команде', 'Организаторские навыки', 'Работа с большим объемом информации', 'Обучение и развитие', 'MS PowerPoint']",от 50 000 руб. на руки,1–3 года,Менеджер по складской логистике
https://hh.ru/vacancy/50215822?from=vacancy_search_list&query=it,"['раздельный учет НДС', 'Лицензионные договоры', '1С: Бухгалтерия', '1С: Зарплата и кадры', 'Бухгалтерский учет', 'Управленческий учет', 'Бухгалтерская отчетность', 'Первичная бухгалтерская документация', 'Налоговая отчетность', 'Основные средства', 'Отчетность в ФСС', 'Отчетность в ПФР', 'Расчет НДС']",от 130 000 руб. на руки,более 6 лет,Главный бухгалтер в единственном лице в IT компанию
https://hh.ru/vacancy/50242859?from=vacancy_search_list&query=it,"['Английский\xa0— A2 — Элементарный', 'Коммуникабельность', 'Навыки переговоров', 'Навыки межличностного общения', 'Консультирование', 'Работа с большим объемом информации', 'Сопровождение клиентов', 'Расстановка приоритетов', 'Опытный пользователь ПК', 'Грамотность', 'Грамотная устная и письменная речь', 'Навыки делового общения', 'Высокий уровень самоорганизации', 'Работа в команде', 'Умение работать в режиме многозадачности', 'Делопроизводство']",от 50 000 до 60 000 руб. до вычета налогов,1–3 года,Офис-менеджер
https://hh.ru/vacancy/49438254?from=vacancy_search_list&query=it,"['CRM', 'Обучение и развитие', 'Клиентоориентированность', 'Планирование продаж', 'Сопровождение клиентов', 'Управление временем', 'Развитие продаж', 'B2B Продажи', 'Навыки переговоров', 'Управление отношениями с клиентами', 'Деловая коммуникация']",от 100 000 руб. на руки,1–3 года,Менеджер по продажам автозапчастей
https://hh.ru/vacancy/50097044?from=vacancy_search_list&query=it,"['Гражданское право', 'Арбитражные суды', 'Юридическая поддержка', 'Договорная работа', 'Деловая переписка']",от 120 000 до 150 000 руб. на руки,3–6 лет,Руководитель юридического отдела
https://hh.ru/vacancy/50099808?from=vacancy_search_list&query=it,[],от 40 000 до 40 000 руб. на руки,не требуется,Секретарь
https://hh.ru/vacancy/50223270?from=vacancy_search_list&query=it,"['1С: Комплексная автоматизация', 'Налоговый учет', 'Бухгалтерский учет', 'МСФО', 'Бюджетирование', 'Казначейство', 'Страховой учет', 'Постановка задач разработчикам']",до 220 000 руб. на руки,3–6 лет,Финансовый аналитик (ОСБУ – XBRL)
https://hh.ru/vacancy/46458544?from=vacancy_search_list&query=it,"['Активные продажи', 'Телефонные переговоры', 'Холодные продажи', 'CRM', 'Проведение презентаций', 'Работа с юридическими лицами', 'Гражданское право']",от 60 000 до 120 000 руб. до вычета налогов,не требуется,Менеджер по продажам с юридическим образованием
https://hh.ru/vacancy/49438488?from=vacancy_search_list&query=it,[],от 60 000 до 100 000 руб. на руки,не требуется,Офис-менеджер/администратор отдела продаж
https://hh.ru/vacancy/49745308?from=vacancy_search_list&query=it,"['Документооборот', 'Электронный документооборот', 'MS Outlook', 'Делопроизводство', 'Офисная техника', 'Деловая переписка', 'Грамотная речь']",от 35 000 до 40 000 руб. до вычета налогов,не требуется,Секретарь-делопроизводитель
https://hh.ru/vacancy/49717128?from=vacancy_search_list&query=it,"['Управление офисами компании', 'Аренда помещений', 'Грамотная речь', 'Грамотность', 'Административно-хозяйственная деятельность']",от 35 000 до 50 000 руб. на руки,не требуется,Руководитель АХО
